event_id,decline_code,retry_count,hours_since_failure,day_of_month,customer_tenure_months,subscription_value,prior_recovery_outcome,action,true_p_success,outcome
evt_000111_1ee344a7,insufficient_funds,0,23.6,20,9,499.0,none,retry_later,0.48694811260197446,1
evt_000112_2253d06f,do_not_honor,0,7.8,27,9,199.0,none,retry_now,0.02389268941058276,0
evt_000113_f0a515fc,expired_card,1,2.9,14,20,499.0,none,nudge_whatsapp,0.5628224344871626,1
evt_000114_2eb88016,issuer_unavailable,3,2.0,30,8,199.0,none,stop,0.0,0
evt_000115_07b1a827,insufficient_funds,3,7.3,29,11,499.0,none,voice_call,0.5678645484287304,1
evt_000116_d6f58ffb,do_not_honor,1,14.5,31,7,1499.0,none,nudge_whatsapp,0.024662492629723677,0
evt_000117_0cd3cac0,expired_card,1,5.4,20,9,1499.0,none,escalate_human,0.676368998126544,1
evt_000118_c1036db4,stolen_card,0,0.6,1,6,199.0,none,escalate_human,0.016463644763656287,0
evt_000119_a1dd4952,stolen_card,0,36.1,23,6,499.0,none,nudge_whatsapp,0.01536770556527555,0
evt_000120_868b4dc3,insufficient_funds,1,27.5,11,1,499.0,recovered,escalate_human,0.5547653020067748,0
evt_000121_bfe7017b,issuer_unavailable,1,1.8,12,9,999.0,none,stop,0.0,0
evt_000122_e4f06e15,expired_card,1,29.5,18,18,499.0,none,voice_call,0.6256648037587872,1
evt_000123_687cf494,insufficient_funds,0,9.6,5,28,199.0,none,voice_call,0.7367289603596713,1
evt_000124_2993bbd2,do_not_honor,0,7.5,25,1,499.0,none,retry_later,0.024843544141003683,0
evt_000125_4894d123,do_not_honor,0,7.6,17,7,499.0,none,voice_call,0.025831238524664044,0
evt_000126_106ab6ab,stolen_card,0,11.3,10,1,499.0,recovered,stop,0.0,0
evt_000127_9c37dda3,insufficient_funds,3,10.1,11,9,499.0,none,nudge_sms,0.2310806306530185,0
evt_000128_cf242327,do_not_honor,3,14.4,8,12,999.0,recovered,retry_later,0.02360289498942739,0
evt_000129_c3391ab0,issuer_unavailable,0,21.7,20,11,499.0,none,nudge_sms,0.6051892776690322,1
evt_000130_a84ddf23,do_not_honor,0,0.2,26,6,999.0,recovered,retry_later,0.024843544141003683,0
evt_000131_236988af,insufficient_funds,0,5.2,1,10,1499.0,churned,nudge_sms,0.8455347349164652,1
evt_000132_f03e0773,expired_card,0,31.8,5,6,199.0,recovered,voice_call,0.6621118168474273,1
evt_000133_2d25b113,issuer_unavailable,1,15.6,25,23,199.0,recovered,voice_call,0.7769144862930081,0
evt_000134_5209c2d6,issuer_unavailable,0,1.9,10,3,499.0,recovered,voice_call,0.7631373179619052,0
evt_000135_d505d23c,insufficient_funds,0,16.8,23,5,1499.0,none,escalate_human,0.6760681553875723,0
evt_000136_ea6d5a76,insufficient_funds,1,2.0,3,1,199.0,none,escalate_human,0.7086391622395861,1
evt_000137_c64dc02b,expired_card,2,2.6,1,61,999.0,none,retry_later,0.13238887354206544,0
evt_000138_0b1f7aac,insufficient_funds,1,5.4,3,5,499.0,recovered,escalate_human,0.7248770502073115,1
evt_000139_76f53ea6,insufficient_funds,0,16.2,30,1,199.0,none,retry_now,0.6034832498647262,0
evt_000140_0fa61e30,stolen_card,0,7.1,13,16,499.0,recovered,stop,0.0,0
evt_000141_f9c0a2df,do_not_honor,0,2.1,15,13,999.0,none,voice_call,0.025831238524664044,0
evt_000142_624adfff,expired_card,0,2.3,26,6,499.0,none,nudge_sms,0.5430728310472903,0
evt_000143_6b2d0b9a,do_not_honor,1,8.9,24,13,499.0,none,retry_later,0.024423090054107196,0
evt_000144_d823324d,insufficient_funds,0,9.3,3,16,199.0,recovered,retry_now,0.5096947764548194,1
evt_000145_784f0851,stolen_card,0,1.4,15,4,999.0,none,voice_call,0.015828313967089842,0
evt_000146_6a2cc9be,insufficient_funds,0,6.8,7,14,499.0,none,retry_later,0.5590079971698443,1
evt_000147_0e263398,insufficient_funds,1,3.3,25,17,199.0,none,stop,0.0,0
evt_000148_0d0547b8,issuer_unavailable,0,19.4,4,13,999.0,none,retry_later,0.8621871660511508,1
evt_000149_ff263cdb,insufficient_funds,0,25.1,3,11,199.0,churned,voice_call,0.7386153034878475,1
evt_000150_87e53803,stolen_card,0,15.2,16,16,199.0,none,retry_later,0.015217121208656299,0
evt_000151_317619c1,do_not_honor,1,8.5,21,3,499.0,churned,nudge_sms,0.024185953768396405,0
evt_000152_bb021b5c,insufficient_funds,0,8.7,13,13,999.0,none,nudge_sms,0.47372415711898336,0
evt_000153_521a69ff,insufficient_funds,0,4.7,16,5,199.0,none,escalate_human,0.64866244003805,0
evt_000154_884d7bb6,do_not_honor,3,1.2,8,16,199.0,churned,escalate_human,0.025518546137680318,0
evt_000155_6479e128,issuer_unavailable,0,0.4,30,19,199.0,recovered,voice_call,0.8429045311145472,0
evt_000156_3d4ec9c4,issuer_unavailable,0,1.6,16,4,1499.0,none,escalate_human,0.8294707078439001,1
evt_000157_90a8f228,insufficient_funds,2,9.5,7,21,2499.0,recovered,nudge_whatsapp,0.44451372687306534,0
evt_000158_ee5c0759,do_not_honor,0,9.3,19,11,499.0,none,voice_call,0.025831238524664044,0
evt_000159_fb6dceff,insufficient_funds,0,6.8,4,12,999.0,none,retry_now,0.43906223814673967,0
evt_000160_bb0248aa,insufficient_funds,1,14.1,28,17,199.0,none,retry_now,0.42770618806804744,1
evt_000161_6071a3d2,insufficient_funds,0,2.6,29,7,199.0,none,retry_later,0.7687754290436323,1
evt_000162_8315d67c,insufficient_funds,2,23.8,30,2,999.0,recovered,stop,0.0,0
evt_000163_a25d3016,insufficient_funds,0,0.2,7,2,999.0,none,nudge_whatsapp,0.5242651828154944,0
evt_000164_63825f14,stolen_card,2,3.8,2,2,999.0,none,escalate_human,0.015906391711814714,0
evt_000165_88ef15d8,issuer_unavailable,0,19.7,31,31,499.0,none,retry_now,0.8721384336809187,1
evt_000166_32abf185,insufficient_funds,2,3.0,30,26,2499.0,recovered,nudge_sms,0.7891817065222528,1
evt_000167_f1818179,expired_card,1,6.3,30,14,999.0,none,stop,0.0,0
evt_000168_74e77d07,insufficient_funds,0,12.8,15,4,199.0,recovered,escalate_human,0.6440910108431973,0
evt_000169_7231d545,issuer_unavailable,0,2.2,27,41,199.0,none,retry_later,0.9083435974892329,0
evt_000170_df02199a,insufficient_funds,0,1.2,31,3,199.0,none,nudge_sms,0.826353352980995,1
evt_000171_e9963e8a,issuer_unavailable,0,21.4,27,9,1499.0,none,voice_call,0.7947136273052092,1
evt_000172_78d122f1,insufficient_funds,3,4.7,8,39,499.0,none,voice_call,0.4764576095741506,1
evt_000173_521ba196,expired_card,0,0.7,24,2,1499.0,none,escalate_human,0.7245345141433177,1
evt_000174_96be7f92,issuer_unavailable,1,7.0,16,32,499.0,none,stop,0.0,0
evt_000175_111b7e1d,issuer_unavailable,0,33.2,19,25,499.0,recovered,retry_now,0.8327316881958777,1
evt_000176_b799e512,do_not_honor,1,42.0,2,11,499.0,recovered,escalate_human,0.026403509502070335,0
evt_000177_a18d813d,expired_card,1,15.8,22,10,999.0,none,nudge_sms,0.4660266002957176,1
evt_000178_7d66ffbd,insufficient_funds,1,0.8,15,3,499.0,recovered,retry_later,0.3607447387466069,0
evt_000179_e50a43ed,insufficient_funds,3,2.8,9,2,499.0,recovered,retry_later,0.23541533230125938,0
evt_000180_2b62dc49,insufficient_funds,0,8.6,22,4,499.0,none,nudge_sms,0.4531425417229111,1
evt_000181_20952c44,expired_card,0,23.9,8,37,999.0,none,escalate_human,0.8374525156066244,1
evt_000182_46df6d12,insufficient_funds,0,3.3,8,3,199.0,recovered,retry_later,0.4860652941322437,0
evt_000183_50584315,insufficient_funds,0,12.2,27,5,999.0,churned,nudge_sms,0.5984403918734763,1
evt_000184_a0e161cf,do_not_honor,4,56.7,20,27,1499.0,recovered,nudge_sms,0.022977369910025615,0
evt_000185_75ff9981,insufficient_funds,0,16.2,16,12,499.0,recovered,nudge_sms,0.46452639150668634,0
evt_000186_b6824f4d,expired_card,2,17.0,7,12,499.0,none,escalate_human,0.6146893335293689,0
evt_000187_9b366ff5,insufficient_funds,1,1.3,7,3,199.0,churned,retry_later,0.4175441839320331,0
evt_000188_0f3501c1,expired_card,0,4.1,26,4,499.0,churned,escalate_human,0.7374427738214585,1
evt_000189_23daabc5,do_not_honor,0,3.1,11,6,499.0,none,stop,0.0,0
evt_000190_b3145837,expired_card,2,16.6,8,16,199.0,none,voice_call,0.5347922798188591,0
evt_000191_92380633,insufficient_funds,0,8.5,23,2,499.0,recovered,escalate_human,0.6627918860548038,1
evt_000192_3c9024aa,insufficient_funds,0,8.6,6,16,499.0,none,retry_now,0.3975762992704338,0
evt_000193_fba50c19,insufficient_funds,3,9.2,31,22,199.0,none,escalate_human,0.7841471891774855,1
evt_000194_2c7b2d10,issuer_unavailable,0,25.9,6,24,999.0,none,voice_call,0.8344880631444883,1
evt_000195_462dabee,insufficient_funds,3,2.6,29,60,499.0,none,retry_later,0.6751144992402268,1
evt_000196_c95fe404,expired_card,0,9.6,20,2,199.0,recovered,nudge_whatsapp,0.5614711520103568,0
evt_000197_4e48ec7c,expired_card,0,9.7,5,23,499.0,recovered,stop,0.0,0
evt_000198_2ff3592a,expired_card,2,23.4,17,9,199.0,none,nudge_sms,0.37346619157256483,0
evt_000199_80bc696f,issuer_unavailable,0,55.5,30,1,999.0,none,stop,0.0,0
evt_000200_40c29959,insufficient_funds,2,74.7,17,19,2499.0,none,nudge_sms,0.3329073063339552,0
evt_000201_a3629e66,stolen_card,0,0.7,20,6,999.0,none,stop,0.0,0
evt_000202_9c2cf9b1,do_not_honor,0,39.4,31,7,499.0,none,stop,0.0,0
evt_000203_d4605d5d,insufficient_funds,0,20.0,10,7,199.0,none,nudge_whatsapp,0.5086479949670318,0
evt_000204_c01b4233,insufficient_funds,3,1.4,1,7,499.0,recovered,retry_later,0.6659669267518202,0
evt_000205_befe4fa1,insufficient_funds,1,48.5,25,5,199.0,churned,retry_later,0.45236085693780004,1
evt_000206_1ba11693,expired_card,1,7.1,20,21,499.0,none,retry_now,0.0814456460734246,0
evt_000207_e357d08b,insufficient_funds,1,3.7,9,30,1499.0,none,stop,0.0,0
evt_000208_d3f0f499,insufficient_funds,0,3.4,6,1,2499.0,none,retry_now,0.32836832745342703,1
evt_000209_21ee471e,issuer_unavailable,2,20.9,13,17,499.0,recovered,stop,0.0,0
evt_000210_6a205726,insufficient_funds,0,2.7,14,16,499.0,none,escalate_human,0.6981224868032667,0
evt_000211_3f10f0c4,insufficient_funds,1,22.5,28,6,499.0,none,retry_now,0.37490850221908684,1
evt_000212_a6867bd2,insufficient_funds,1,4.5,29,8,499.0,none,retry_later,0.7050388989047509,1
evt_000213_9fa0bc20,expired_card,1,34.4,19,14,499.0,none,retry_now,0.07143266150266506,0
evt_000214_54a5fd9c,expired_card,0,36.3,14,27,999.0,none,nudge_whatsapp,0.6775695490167115,1
evt_000215_7fcb3157,stolen_card,0,11.0,20,4,199.0,none,voice_call,0.015828313967089842,0
evt_000216_83bf7fec,issuer_unavailable,0,13.1,29,15,199.0,none,retry_later,0.8747149216600391,1
evt_000217_185e35e3,insufficient_funds,2,7.7,22,5,199.0,churned,retry_now,0.18201972410769848,0
evt_000218_66d653f8,insufficient_funds,1,11.5,20,27,199.0,churned,stop,0.0,0
evt_000219_800dbd53,expired_card,2,9.6,11,4,499.0,churned,retry_later,0.062218464696043946,1
evt_000220_1bfe96d5,issuer_unavailable,2,12.8,17,8,499.0,recovered,retry_later,0.7236470150670538,1
evt_000221_4d9ea6ba,stolen_card,4,7.1,19,6,499.0,none,escalate_human,0.01536770556527555,0
evt_000222_2ca562bc,issuer_unavailable,0,10.0,16,3,499.0,none,nudge_whatsapp,0.6134602384822768,0
evt_000223_304f7181,insufficient_funds,0,79.2,31,1,499.0,none,nudge_whatsapp,0.8481288363433407,1
evt_000224_e44be979,insufficient_funds,0,15.5,9,1,999.0,none,nudge_whatsapp,0.48800694012991624,0
evt_000225_9b47ee6b,insufficient_funds,0,5.3,20,1,199.0,churned,stop,0.0,0
evt_000226_564e9f2b,insufficient_funds,0,41.0,18,6,499.0,churned,stop,0.0,0
evt_000227_7e7af3ca,insufficient_funds,0,4.9,23,2,499.0,recovered,retry_later,0.4810707360908991,0
evt_000228_534d00ff,issuer_unavailable,1,1.8,14,75,999.0,none,stop,0.0,0
evt_000229_799b1224,issuer_unavailable,0,0.7,27,9,499.0,none,retry_later,0.8524032585812423,1
evt_000230_91424d66,insufficient_funds,3,0.1,29,21,2499.0,none,stop,0.0,0
evt_000231_c3553b8c,stolen_card,3,45.1,6,2,999.0,none,nudge_whatsapp,0.014593183952298106,0
evt_000232_7b22dba7,issuer_unavailable,0,40.5,13,2,999.0,recovered,nudge_whatsapp,0.6091315337871595,1
evt_000233_78f3b50d,insufficient_funds,3,6.2,1,5,199.0,none,nudge_sms,0.6341355910108007,0
evt_000234_8563a077,insufficient_funds,2,18.8,23,24,199.0,none,nudge_whatsapp,0.44133315667127887,0
evt_000235_ed3a46ef,expired_card,4,8.9,14,13,499.0,none,retry_now,0.025646295338497445,0
evt_000236_c125ccad,insufficient_funds,0,22.1,24,7,999.0,none,escalate_human,0.6962427248229031,1
evt_000237_f3f62e1f,insufficient_funds,2,3.6,9,2,999.0,none,retry_now,0.1732562373044906,0
evt_000238_7468df18,insufficient_funds,0,4.6,5,3,199.0,none,nudge_sms,0.5401221886197163,0
evt_000239_5fabfba7,insufficient_funds,0,9.3,11,2,999.0,none,nudge_whatsapp,0.47696147196949884,1
evt_000240_348d4339,insufficient_funds,1,9.1,19,13,199.0,recovered,escalate_human,0.6096368866925846,1
evt_000241_f14167ab,issuer_unavailable,2,1.2,24,19,1499.0,churned,escalate_human,0.7697795871502857,1
evt_000242_5dd0014c,issuer_unavailable,0,6.3,14,22,199.0,none,retry_now,0.8238459621165,1
evt_000243_d7b83699,issuer_unavailable,4,9.8,1,2,1499.0,none,retry_now,0.4850044983805899,0
evt_000244_0bbd4f28,insufficient_funds,3,10.3,3,16,499.0,none,escalate_human,0.6198199241504446,1
evt_000245_dc0a35bf,insufficient_funds,2,5.4,11,23,199.0,none,nudge_whatsapp,0.40800484228392225,0
evt_000246_6738e421,insufficient_funds,1,7.4,13,50,499.0,none,nudge_sms,0.501199926168566,0
evt_000247_594eee82,issuer_unavailable,0,23.3,2,3,1499.0,none,voice_call,0.7863908956732978,1
evt_000248_90866559,insufficient_funds,0,24.1,16,2,999.0,churned,retry_later,0.43976071660575,1
evt_000249_9b45b00e,expired_card,4,5.1,17,8,499.0,none,retry_later,0.03431101920059064,0
evt_000250_59014701,stolen_card,0,1.1,1,4,199.0,none,escalate_human,0.016463644763656287,0
evt_000251_08663c71,insufficient_funds,0,7.8,31,6,199.0,none,nudge_sms,0.8347951298093854,1
evt_000252_4a9f04f7,stolen_card,3,42.0,24,16,499.0,recovered,retry_now,0.01389135269805543,0
evt_000253_c3c71823,do_not_honor,0,8.9,23,12,1499.0,none,escalate_human,0.026857118784809644,1
evt_000254_720c2488,insufficient_funds,1,1.4,24,8,999.0,none,nudge_whatsapp,0.466833035359999,0
evt_000255_db5b33df,insufficient_funds,0,0.6,21,2,499.0,none,nudge_whatsapp,0.48365468383464855,1
evt_000256_2f635811,do_not_honor,0,10.9,9,4,499.0,none,nudge_sms,0.024602428402739435,0
evt_000257_80af979b,insufficient_funds,1,9.1,15,2,2499.0,recovered,escalate_human,0.5506172599958505,0
evt_000258_94095744,insufficient_funds,1,1.1,26,27,499.0,none,retry_later,0.5964835870554198,1
evt_000259_edfa32be,issuer_unavailable,1,3.1,11,19,199.0,none,voice_call,0.7571531962760888,1
evt_000260_11df34e0,insufficient_funds,3,19.7,21,1,499.0,none,nudge_sms,0.2082667911307158,0
